time cIndex x y length flowRate aperture nForce sForce xNormCosine yNormCosine blocks domains corners
f i f f f f f f f f f l l l
 0.0000e+000 4550471  1.6106e-001  1.2388e+001  5.5550e-002  0.0000e+000  0.0000e+000  5.0789e-001  1.3679e-001 -4.6310e-001  8.8630e-001 159845,139057 139438,4550511 4461890,4550449
 0.0000e+000 4463672  1.6106e-001  1.2388e+001  5.0550e-002  0.0000e+000  0.0000e+000  4.6218e-001  1.2448e-001  4.6311e-001 -8.8630e-001 139057,159845 139438,4549328 139108,4463650
 0.0000e+000 4549446  1.1412e-001  1.2841e+001  7.5651e-002  0.0000e+000  0.0000e+000  5.8792e-001 -2.2477e-001  6.5662e-001  7.5422e-001 139057,162201 4448238,4549486 4549424,4449032
 0.0000e+000 4449054  1.1412e-001  1.2841e+001  7.0651e-002  0.0000e+000  0.0000e+000  5.4906e-001 -2.0991e-001 -6.5661e-001 -7.5423e-001 162201,139057 4448238,4449094 4449032,4549424
 0.0000e+000 4549367  3.4235e-001  1.2642e+001  7.5652e-002  0.0000e+000  0.0000e+000  5.9869e-001 -2.2451e-001 -6.5663e-001 -7.5422e-001 162201,139057 139324,4549407 4448904,4549345
 0.0000e+000 4448926  3.4235e-001  1.2642e+001  7.0651e-002  0.0000e+000  0.0000e+000  5.5916e-001 -2.0967e-001  6.5664e-001  7.5421e-001 139057,162201 139324,4549227 4549345,4448904
 0.0000e+000 4549288  2.5953e-001  1.2440e+001  5.5550e-002  0.0000e+000  0.0000e+000  5.0801e-001  1.3689e-001  4.6310e-001 -8.8630e-001 139057,159845 4463712,4550511 4549266,4461890
 0.0000e+000 4461912  2.5953e-001  1.2440e+001  5.5549e-002  0.0000e+000  0.0000e+000  5.0801e-001  1.3689e-001 -4.6309e-001  8.8631e-001 159845,139057 4463712,4550639 4461890,4549266
 0.0000e+000 4549187  2.2823e-001  1.2741e+001  7.5651e-002  0.0000e+000  0.0000e+000  5.9387e-001 -2.2464e-001  6.5663e-001  7.5422e-001 139057,162201 4448966,4549407 4549163,4448176
 0.0000e+000 4448198  2.2823e-001  1.2741e+001  7.5651e-002  0.0000e+000  0.0000e+000  5.9385e-001 -2.2464e-001 -6.5662e-001 -7.5422e-001 162201,139057 4448966,4549486 4448176,4549163
 0.0000e+000 4548469  9.9798e-002  1.2201e+001  7.0115e-002  0.0000e+000  0.0000e+000  3.5271e-001 -1.0758e-001  9.6416e-001  2.6534e-001 139511,159845 4461750,4548509 4548447,4463178
 0.0000e+000 4463200  9.9798e-002  1.2201e+001  6.5116e-002  0.0000e+000  0.0000e+000  3.2756e-001 -9.9907e-002 -9.6415e-001 -2.6534e-001 159845,139511 4461750,4463240 4463178,4548447
 0.0000e+000 4548390  1.7421e-001  1.1931e+001  7.0116e-002  0.0000e+000  0.0000e+000  3.6224e-001 -1.0750e-001 -9.6416e-001 -2.6533e-001 159845,139511 139721,4548430 4463050,4548368
