time cIndex x y length flowRate aperture nForce sForce xNormCosine yNormCosine blocks domains corners
f i f f f f f f f f f l l l
 1.0000e-001 100394  4.4083e+000  6.6391e+000  3.6474e-001  0.0000e+000  0.0000e+000 -1.4025e+000  0.0000e+000 -9.7051e-001  2.4107e-001 46834,40274 40655,100434 40303,100370
 1.0000e-001 92835  4.4083e+000  6.6391e+000  3.6471e-001  0.0000e+000  0.0000e+000 -1.3927e+000  0.0000e+000  9.7052e-001 -2.4101e-001 40274,46834 40655,92875 40325,92813
 1.0000e-001 99816  4.4379e+000  2.0250e+000  4.1574e-001  0.0000e+000  0.0000e+000 -8.1354e-001 -0.0000e+000 -9.9923e-001  3.9267e-002 44198,40728 41109,99856 96246,99792
 1.0000e-001 96268  4.4379e+000  2.0249e+000  4.1572e-001  0.0000e+000  0.0000e+000 -8.1333e-001 -0.0000e+000  9.9923e-001 -3.9278e-002 40728,44198 41109,96308 99792,96246
 1.0000e-001 99166  3.9957e+000  3.9191e-001  3.6471e-001  0.0000e+000  0.0000e+000 -1.8911e+000  0.0000e+000 -2.9732e-001  9.5478e-001 42956,41232 42224,99206 36099,99140
 1.0000e-001 97733  3.9956e+000  3.9187e-001  3.6472e-001  0.0000e+000  0.0000e+000 -1.8341e+000  0.0000e+000  2.9744e-001 -9.5474e-001 41232,42956 42224,97773 36077,97711
 1.0000e-001 98565  4.7282e+000  4.7457e+000  2.9053e-001  0.0000e+000  0.0000e+000 -8.7756e-001 -0.0000e+000 -9.8611e-001 -1.6611e-001 45342,42247 43337,98605 94850,98541
 1.0000e-001 94872  4.7282e+000  4.7456e+000  2.9054e-001  0.0000e+000  0.0000e+000 -8.7248e-001 -0.0000e+000  9.8611e-001  1.6609e-001 42247,45342 43337,94912 98541,94850
 1.0000e-001 98066  4.3698e+000  7.9087e+000  2.9061e-001  0.0000e+000  0.0000e+000 -1.3019e+000  0.0000e+000 -9.0090e-001 -4.3404e-001 43750,42559 42826,98106 96847,98042
 1.0000e-001 96869  4.3699e+000  7.9085e+000  2.9062e-001  0.0000e+000  0.0000e+000 -1.3077e+000  0.0000e+000  9.0089e-001  4.3405e-001 42559,43750 42826,96909 98042,96847
